Player,G,PTS,TRB,AST
Ron Livingstone,117,6.3,4.7,1.9
Horacio Llamas,28,2.1,1.3,0.2
Chuck Lloyd,14,4.7,1.8,0.4
Earl Lloyd,560,8.4,6.4,1.4
Lewis Lloyd,388,13.2,3.1,2.9
Scott Lloyd,372,4.6,3.0,1.0
Riney Lochmann,170,4.3,2.7,0.8
Bob Lochmueller,62,3.7,2.6,0.8
Rob Lock,20,1.5,1.6,0.2
Darrell Lockhart,2,2.0,1.5,0.0
Ian Lockhart,1,4.0,0.0,0.0
Kevin Loder,148,5.9,2.3,1.2
Don Lofgran,209,6.1,3.9,1.0
Kenneth Lofton Jr.,45,4.8,2.0,1.2
Zach Lofton,1,0.0,0.0,0.0
Henry Logan,108,11.6,3.5,2.3
John Logan,258,12.4,4.5,3.0
Brad Lohaus,656,5.9,2.8,1.1
Art Long,98,3.5,3.3,0.5
Grant Long,1003,9.5,6.1,1.7
John Long,893,13.6,2.8,1.9
Paul Long,80,3.9,0.8,0.8
Shawn Long,18,8.2,4.7,0.7
Willie Long,213,11.4,6.0,1.0
Luc Longley,567,7.2,4.9,1.5
Kevon Looney,539,5.0,5.7,1.6
Brook Lopez,1043,16.0,6.2,1.4
Felipe López,249,5.8,2.4,1.0
Raül López,113,6.5,1.7,3.8
Robin Lopez,992,8.4,4.7,0.8
Ryan Lorthridge,37,7.4,1.9,2.7
Jim Loscutoff,511,6.2,5.6,0.7
Plummer Lott,67,2.2,1.8,0.6
Kevin Loughery,755,15.3,3.0,3.7
Didi Louzada,12,3.6,1.7,0.7
Bob Love,789,17.6,5.9,1.4
Kevin Love,937,16.4,10.1,2.3
Stan Love,239,6.6,3.9,0.8
Clyde Lovellette,704,17.0,9.5,1.6
Sidney Lowe,193,2.9,1.7,3.9
Charlie Lowery,20,2.3,1.0,0.7
Kyle Lowry,1151,14.2,4.3,6.1
Jordan Loyd,12,2.4,0.8,0.5
Al Lucas,2,1.0,-,1.0
Jerry Lucas,829,17.0,15.6,3.3
John Lucas,928,10.7,2.3,7.0
Kalin Lucas,2,1.0,1.5,0.5
Maurice Lucas,1021,14.6,9.1,2.4
John Lucas III,242,4.7,1.0,1.5
Ted Luckenbill,87,2.3,1.9,0.4
Tyronn Lue,554,8.5,1.7,3.1
Jim Luisi,31,2.9,0.8,1.1
Al Lujack,5,0.8,-,0.0
Phil Lumpkin,82,3.3,1.0,2.7
Ray Lumpp,300,8.2,2.2,2.2
Gabriel Lundberg,4,3.3,1.8,2.8
Seth Lundy,9,1.6,0.8,0.0
Timothé Luwawu-Cabarrot,328,5.9,2.0,0.9
Tyler Lydon,26,0.9,0.7,0.2
Trey Lyles,599,7.6,4.3,1.1
R.B. Lynam,7,2.4,0.7,0.0
George Lynch,774,6.6,5.0,1.4
Kevin Lynch,95,3.3,1.3,1.1
Lonnie Lynn,52,5.0,5.0,0.8
Mike Lynn,49,2.6,1.4,0.6
