Player,G,PTS,TRB,AST
Kosta Koufos,686,5.7,5.0,0.5
Tom Kozelko,189,2.2,1.8,0.5
Ron Kozlicki,37,2.9,1.9,0.4
Arvid Kramer,8,2.0,1.5,0.4
Barry Kramer,59,3.6,1.9,0.7
Joel Kramer,328,3.8,2.8,1.0
Steve Kramer,124,8.5,2.5,1.9
Dan Kraus,13,1.6,-,0.5
Herb Krautblatt,10,1.3,-,0.4
Viacheslav Kravtsov,45,2.2,1.4,0.2
Jim Krebs,515,8.0,6.2,0.8
Vit Krejci,89,4.3,2.1,1.5
Wayne Kreklow,25,1.2,0.5,0.4
Tommy Kron,224,6.0,3.0,2.7
Tom Kropp,78,2.5,0.8,0.6
Nenad Krstić,419,10.0,5.4,0.8
Larry Krystkowiak,420,8.2,4.9,1.2
Steve Kuberski,568,5.5,3.8,0.6
Leo Kubiak,62,11.5,-,3.2
Bruce Kuczenski,15,1.9,1.5,0.5
Frank Kudelka,228,7.2,3.2,2.1
John Kuester,135,3.3,1.0,2.3
Ray Kuka,52,4.9,-,0.7
Toni Kukoč,846,11.6,4.2,3.7
Arnoldas Kulboka,2,0.0,0.0,0.0
Jonathan Kuminga,227,12.0,3.9,1.7
Kevin Kunnert,555,8.3,7.3,1.4
Terry Kunze,46,5.0,1.6,1.0
Mitch Kupchak,510,10.2,5.4,0.7
C.J. Kupec,147,4.1,2.1,0.7
Rodions Kurucs,131,6.0,3.1,0.9
Rob Kurz,40,3.9,2.0,0.5
Ibo Kutluay,5,0.0,0.2,0.0
Kyle Kuzma,488,17.3,6.4,2.7
Ognjen Kuzmić,37,0.9,1.0,0.2
Mindaugas Kuzminskas,69,6.2,1.8,1.0
