Player,G,PTS,TRB,AST
Brian Roberts,314,6.6,1.3,2.3
Fred Roberts,818,7.3,2.8,1.2
Joe Roberts,218,5.8,4.9,0.6
Lawrence Roberts,87,3.8,3.6,0.4
Marv Roberts,402,8.3,3.9,1.3
Stanley Roberts,300,8.5,5.2,0.6
Alvin Robertson,779,14.0,5.2,5.0
Oscar Robertson,1040,25.7,7.5,9.5
Ryan Robertson,1,5.0,0.0,0.0
Tony Robertson,75,5.5,1.1,1.4
Rick Robey,493,7.6,4.7,1.2
Bernard Robinson,128,4.5,2.5,1.0
Chris Robinson,76,4.6,1.5,1.4
Cliff Robinson,629,17.2,8.3,2.0
Clifford Robinson,1380,14.2,4.6,2.2
David Robinson,987,21.1,10.6,2.5
Devin Robinson,8,6.1,3.1,0.8
Duncan Robinson,365,11.4,2.7,1.7
Eddie Robinson,278,7.0,2.7,0.9
Flynn Robinson,543,14.0,2.5,3.0
Glenn Robinson,688,20.7,6.1,2.7
Glenn Robinson III,304,5.9,2.6,0.8
Jackie Robinson,22,3.8,1.2,0.6
Jamal Robinson,6,1.0,1.8,0.3
James Robinson,381,7.6,1.7,1.9
Jerome Robinson,135,4.0,1.6,1.0
Justin Robinson,43,2.6,0.8,1.1
Larry Robinson,89,4.5,1.9,0.9
Mitchell Robinson,320,8.0,7.9,0.6
Nate Robinson,618,11.0,2.3,3.0
Oliver Robinson,35,2.9,0.5,0.6
Orlando Robinson,70,3.2,3.1,0.9
Ronnie Robinson,72,6.1,4.3,0.7
Rumeal Robinson,336,7.6,1.8,3.5
Sam Robinson,134,9.1,4.1,1.2
Thomas Robinson,313,4.9,4.8,0.6
Truck Robinson,772,15.5,9.4,1.7
Wayne Robinson,81,7.9,3.6,1.4
Wil Robinson,45,8.6,1.8,2.9
Jeremiah Robinson-Earl,151,6.2,4.2,0.9
Bill Robinzine,529,10.5,6.1,1.1
Dave Robisch,930,11.4,6.6,1.8
Isaiah Roby,151,7.7,4.4,1.4
Red Rocha,586,10.9,6.6,2.0
John Roche,479,11.2,1.5,3.9
Gene Rock,11,0.9,-,0.0
Jack Rocker,9,1.9,-,0.3
David Roddy,148,6.5,3.0,1.1
Guy Rodgers,892,11.7,4.3,7.8
Dennis Rodman,911,7.3,13.1,1.8
Sergio Rodríguez,353,4.9,1.5,3.4
Lou Roe,66,2.0,1.4,0.3
Carlos Rogers,298,7.4,4.3,0.6
Harry Rogers,18,7.6,5.3,0.8
Johnny Rogers,69,3.6,1.5,0.4
Marshall Rogers,26,3.8,0.4,0.4
Rodney Rogers,866,10.9,4.5,2.0
Roy Rogers,137,4.8,3.5,0.4
Willie Rogers,40,2.1,1.2,0.4
Al Roges,84,7.5,2.8,2.1
Ken Rohloff,2,0.0,0.0,0.5
Kenny Rollins,168,4.9,1.0,2.0
Phil Rollins,177,5.1,2.2,2.6
Ryan Rollins,34,2.8,1.1,0.9
Tree Rollins,1156,5.4,5.8,0.6
Lorenzo Romar,291,5.9,1.3,3.5
Rajon Rondo,957,9.8,4.5,7.9
Jerry Rook,28,3.0,1.1,0.4
Sean Rooks,749,6.2,3.8,0.8
Derrick Rose,723,17.4,3.2,5.2
Jalen Rose,923,14.3,3.5,3.8
Malik Rose,813,6.2,4.1,0.8
Rob Rose,2,0.0,1.0,0.0
Petey Rosenberg,51,2.9,-,0.5
Lennie Rosenbluth,82,4.2,1.8,0.4
Hank Rosenstein,60,6.4,-,0.6
Dick Rosenthal,85,6.8,4.1,2.0
Quinton Ross,458,4.1,2.1,0.9
Terrence Ross,733,11.0,2.8,1.3
Doug Roth,42,1.9,2.9,0.5
Scott Roth,160,4.7,1.3,1.2
Irv Rothenberg,131,5.4,-,0.7
Mickey Rottner,100,5.4,-,1.4
Dan Roundfield,813,14.3,9.2,2.0
Giff Roux,151,4.1,-,0.3
Ron Rowan,7,1.7,0.1,0.1
Curtis Rowe,590,11.6,7.2,1.6
Jim Rowinski,23,2.5,1.5,0.2
Derrick Rowland,2,1.5,0.5,0.5
Brian Rowsom,82,5.6,3.3,0.6
Brandon Roy,326,18.8,4.3,4.7
Donald Royal,504,6.3,2.8,1.0
Reggie Royals,2,2.0,0.0,0.0
Bob Royer,42,4.7,-,2.0
Clifford Rozier,173,4.8,5.2,0.6
Terry Rozier,616,14.2,3.9,3.6
Ricky Rubio,698,10.8,4.1,7.4
Guy Rucker,3,0.0,0.3,0.3
Delaney Rudd,239,3.4,0.8,2.2
John Rudd,58,3.2,2.9,0.6
Damjan Rudež,146,3.3,0.6,0.6
John Rudometkin,131,6.3,3.1,0.5
Michael Ruffin,414,1.7,3.9,0.6
Trevor Ruffin,110,9.2,1.4,2.9
Paul Ruffner,133,4.2,3.0,0.5
Joe Ruklick,114,3.5,2.5,0.4
Jeff Ruland,332,17.4,10.2,3.0
Bob Rule,403,17.4,8.3,1.5
Jerry Rullo,95,2.9,-,0.7
Rayan Rupert,56,3.9,2.2,1.2
Stefano Rusconi,7,1.1,0.9,0.4
Brandon Rush,481,6.8,2.9,1.0
Kareem Rush,346,6.4,1.7,1.0
Bill Russell,963,15.1,22.5,4.3
Bryon Russell,841,7.9,3.5,1.3
Campy Russell,566,15.8,4.8,3.0
Cazzie Russell,817,15.1,3.8,2.2
D'Angelo Russell,590,17.6,3.4,5.7
Frank Russell,23,3.2,0.7,0.7
Pierre Russell,110,4.0,2.0,1.0
Rubin Russell,26,5.4,2.0,0.3
Walker Russell,155,3.0,1.2,2.3
Walker Russell,28,3.0,0.9,2.1
Matt Ryan,68,4.1,1.0,0.5
