Player,G,PTS,TRB,AST
Ken Johnson,64,4.1,3.8,0.3
Ken Johnson,16,2.0,2.0,0.0
Keon Johnson,100,5.8,1.8,1.6
Kevin Johnson,735,17.9,3.3,9.1
Keyontae Johnson,9,1.2,1.1,0.4
Larry Johnson,4,1.5,1.3,1.8
Larry Johnson,707,16.2,7.5,3.3
Lee Johnson,12,1.4,1.8,0.1
Linton Johnson,151,3.9,3.3,0.4
Magic Johnson,906,19.5,7.2,11.2
Marques Johnson,691,20.1,7.0,3.6
Mickey Johnson,904,14.1,7.2,3.0
Neil Johnson,380,6.9,5.3,1.7
Nick Johnson,28,2.6,1.4,0.4
Ollie Johnson,690,7.7,3.3,1.8
Omari Johnson,4,5.5,2.8,1.8
Orlando Johnson,103,3.2,1.7,0.7
Ralph Johnson,204,8.4,3.6,2.8
Reggie Johnson,305,8.4,4.1,0.9
Rich Johnson,135,5.0,3.1,0.4
Ron Johnson,14,2.6,2.1,0.1
Stanley Johnson,449,6.2,3.1,1.5
Steffond Johnson,29,2.6,1.5,0.2
Steve Johnson,626,11.7,5.5,1.2
Stew Johnson,647,16.3,6.6,1.5
Trey Johnson,23,2.6,0.9,0.7
Tyler Johnson,354,9.8,3.0,2.3
Vinnie Johnson,984,12.0,3.2,3.3
Wesley Johnson,609,7.0,3.2,1.1
Darius Johnson-Odom,7,0.0,0.9,0.3
Nate Johnston,21,2.2,1.1,0.0
Neil Johnston,516,19.4,11.3,2.5
Jim Johnstone,23,1.3,2.0,0.5
Nikola Jokić,689,21.1,10.8,7.0
Howie Jolliff,138,2.8,4.2,0.8
Alvin Jones,23,1.1,1.6,0.1
Anthony Jones,164,3.6,1.3,0.7
Askia Jones,11,4.1,1.0,1.5
Bill Jones,37,3.5,1.3,0.5
Bobby Jones,941,12.1,6.1,2.7
Bobby Jones,91,3.2,1.6,0.5
Caldwell Jones,1299,7.9,8.2,1.4
Carlik Jones,12,2.0,0.7,0.9
Charles Jones,726,2.5,4.5,0.9
Charles Jones,201,5.0,3.8,1.0
Charles Jones,85,3.5,1.2,1.6
Colby Jones,41,1.9,1.1,0.5
Collis Jones,298,8.1,4.7,1.1
Dahntay Jones,624,5.4,1.7,0.8
Damian Jones,279,4.9,3.1,0.7
Damon Jones,657,6.6,1.6,2.7
DeQuan Jones,63,3.7,1.7,0.3
Derrick Jones Jr.,441,6.9,3.3,0.7
Dillon Jones,18,2.1,2.0,0.7
Dominique Jones,80,3.1,1.4,1.8
Dontae' Jones,15,2.9,0.6,0.3
Dwayne Jones,82,1.3,2.3,0.1
Dwight Jones,766,8.1,5.9,1.2
