Player,G,PTS,TRB,AST
DeAndre' Bembry,296,5.9,3.2,1.8
Irv Bemoras,131,6.3,2.6,1.0
Leon Benbow,115,5.5,1.9,1.6
Dragan Bender,187,5.4,3.9,1.3
Jonathan Bender,262,5.5,2.2,0.6
Jerrelle Benimon,2,0.0,1.5,0.0
Benoit Benjamin,807,11.4,7.5,1.3
Corey Benjamin,153,5.5,1.7,0.9
Anthony Bennett,151,4.4,3.1,0.5
Elmer Bennett,21,2.3,0.5,1.0
Mario Bennett,68,4.0,2.7,0.4
Mel Bennett,204,6.9,4.7,1.0
Spider Bennett,59,7.5,2.5,1.4
Tony Bennett,152,3.5,1.0,2.0
Winston Bennett,136,4.8,3.0,0.9
David Benoit,492,7.0,4.0,0.6
Keith Benson,3,0.0,1.0,0.0
Kent Benson,680,9.1,5.7,1.8
Ben Bentil,3,0.0,0.7,0.0
Gene Berce,3,3.3,-,0.7
Gary Bergen,6,1.3,1.3,0.2
Larry Bergh,20,6.1,4.3,0.9
Jules Bernard,19,3.9,1.4,0.8
Ricky Berry,64,11.0,3.1,1.3
Walter Berry,205,14.1,4.7,1.4
Dairis Bertāns,12,2.8,0.8,0.8
Dāvis Bertāns,475,7.7,2.4,0.9
Del Beshore,69,3.5,0.9,2.0
Travis Best,708,7.6,1.8,3.5
Patrick Beverley,666,8.3,4.1,3.4
Saddiq Bey,292,14.1,5.2,1.8
Tyler Bey,18,1.0,1.1,0.2
Sim Bhullar,3,0.7,0.3,0.3
Wes Bialosuknia,70,8.7,1.3,0.8
Al Bianchi,687,8.1,2.5,2.2
Hank Biasatti,6,1.0,-,0.0
Henry Bibby,675,8.6,2.3,3.3
Mike Bibby,1001,14.7,3.1,5.5
Ed Biedenbach,7,0.6,0.3,0.4
Andris Biedriņš,516,6.3,7.0,0.9
Don Bielke,7,2.0,1.3,0.1
Bob Bigelow,94,2.5,1.2,0.4
Lionel Billingy,46,8.5,6.1,1.1
Chauncey Billups,1043,15.2,2.9,5.4
Dave Bing,901,20.3,3.8,6.0
Joe Binion,11,1.3,1.6,0.1
Khem Birch,282,5.0,4.4,1.0
Jabari Bird,13,3.0,1.5,0.6
Jerry Bird,11,2.3,1.1,0.4
Larry Bird,897,24.3,10.0,6.3
Otis Birdsong,696,18.0,3.0,3.2
Gale Bishop,56,8.3,-,1.6
Goga Bitadze,264,5.1,3.6,1.0
Onuralp Bitim,23,3.5,1.4,0.6
Bismack Biyombo,839,5.1,5.9,0.7
Nemanja Bjelica,449,7.6,4.6,1.8
Uwe Blab,235,2.1,1.8,0.4
Anthony Black,88,5.5,2.2,2.0
Charlie Black,136,9.2,2.4,2.3
Leaky Black,26,2.7,1.8,0.9
Norman Black,3,2.7,0.7,0.7
Tarik Black,220,4.9,4.7,0.5
Tom Black,71,4.2,3.6,0.6
Rolando Blackman,980,18.0,3.3,3.0
Alex Blackwell,27,1.3,0.9,0.3
Cory Blackwell,60,3.4,1.6,0.4
James Blackwell,13,1.4,0.8,0.8
Nate Blackwell,10,3.7,0.6,1.8
DeJuan Blair,424,6.8,5.1,0.8
Steve Blake,870,6.5,2.1,4.0
Antonio Blakeney,76,7.5,1.8,0.8
Will Blalock,14,1.8,1.1,1.2
George Blaney,36,3.3,1.0,1.3
Lance Blanks,142,2.0,0.8,0.8
Ricky Blanton,2,3.0,1.5,0.5
Andray Blatche,564,10.1,5.4,1.4
Mookie Blaylock,889,13.5,4.1,6.7
Eric Bledsoe,756,13.7,3.9,4.7
Keljin Blevins,48,2.2,1.1,0.5
Leon Blevins,2,1.0,1.0,0.5
John Block,597,11.9,6.6,1.3
Mike Bloom,93,6.8,-,0.8
Jaron Blossomgame,27,4.2,3.6,0.5
Corie Blount,644,3.6,4.2,0.7
Mark Blount,605,8.2,4.6,0.8
Vander Blue,10,3.0,1.3,1.2
Ray Blume,49,4.6,0.8,1.4
Nelson Bobb,227,4.6,2.4,2.1
Tony Bobbitt,2,2.5,1.5,0.0
Bucky Bockhorn,474,11.5,4.7,3.5
Buddy Boeheim,20,2.5,0.8,0.4
Tom Boerwinkle,635,7.2,9.0,3.2
Keith Bogans,671,6.3,2.7,1.3
Bogdan Bogdanović,454,14.6,3.4,3.3
Bojan Bogdanović,719,15.6,3.6,1.7
Muggsy Bogues,889,7.7,2.6,7.6
Andrew Bogut,706,9.6,8.7,2.2
Etdrick Bohannon,26,1.4,1.7,0.2
Bol Bol,170,6.0,3.6,0.6
Manute Bol,624,2.6,4.2,0.3
Jonah Bolden,51,4.3,3.4,0.8
Marques Bolden,18,2.4,2.3,0.2
Bill Bolger,20,2.8,1.8,0.6
Leandro Bolmaro,49,1.1,1.0,0.6
Joel Bolomboy,18,1.7,1.5,0.1
Doug Bolstorff,3,1.3,0.0,0.0
