Player,G,PTS,TRB,AST
Theo Pinson,127,2.7,1.4,1.1
Dave Piontek,413,7.2,4.3,1.2
Tom Piotrowski,18,1.7,0.9,0.3
Scottie Pippen,1178,16.1,6.4,5.2
Scotty Pippen Jr.,47,11.1,3.2,4.5
Charles Pittman,234,4.5,3.1,0.9
Dexter Pittman,50,2.3,1.8,0.2
Zoran Planinić,148,3.8,1.3,1.1
Tibor Pleiß,12,2.0,1.3,0.2
Marshall Plumlee,29,1.9,2.3,0.4
Mason Plumlee,803,8.3,6.7,2.4
Miles Plumlee,346,4.9,4.5,0.5
Gary Plummer,126,4.2,2.4,0.5
Pavel Podkolzin,6,0.7,1.5,0.0
Brandin Podziemski,91,8.9,5.5,3.6
Jakob Poeltl,558,8.6,6.9,1.7
Vincent Poirier,32,1.5,1.8,0.3
Aleksej Pokusevski,168,7.5,4.6,1.9
Dwayne Polee,1,2.0,0.0,0.0
Jim Pollard,438,13.2,7.8,3.2
Scot Pollard,506,4.4,4.6,0.4
Ralph Polson,49,3.9,4.3,0.5
Olden Polynice,1058,7.8,6.7,0.7
Cliff Pondexter,197,3.9,3.8,1.1
Quincy Pondexter,355,4.5,1.8,0.7
Shamorie Ponds,4,2.3,0.3,0.5
Yves Pons,12,1.1,1.0,0.1
Jordan Poole,359,16.3,2.6,3.7
David Pope,33,1.9,0.9,0.3
Mark Pope,153,1.9,1.7,0.4
Dave Popson,41,1.9,1.1,0.3
Ben Poquette,718,6.8,5.2,1.2
Chris Porter,51,8.6,3.7,1.2
Craig Porter Jr.,66,5.0,1.9,2.1
Howard Porter,457,9.2,4.1,0.5
Jontay Porter,37,3.7,2.6,1.6
Kevin Porter,659,11.6,1.8,8.1
Kevin Porter Jr.,217,14.7,4.2,4.8
Michael Porter Jr.,285,15.8,6.3,1.3
Otto Porter Jr.,527,10.3,4.9,1.5
Terry Porter,1274,12.2,3.0,5.6
Willie Porter,69,10.5,7.3,0.9
Bobby Portis,622,11.8,7.1,1.2
Bob Portman,221,5.7,3.3,0.6
Kristaps Porziņģis,461,19.6,7.8,1.8
James Posey,864,8.6,4.7,1.6
Lavor Postell,61,3.2,0.7,0.2
John Postley,1,2.0,6.0,1.0
Vitaly Potapenko,610,6.5,4.5,0.7
Micah Potter,27,3.6,3.1,0.5
Leon Powe,239,6.2,3.8,0.3
Cincy Powell,599,16.3,7.6,2.2
Dwight Powell,664,7.0,4.4,1.0
Josh Powell,316,3.9,2.9,0.5
Kasib Powell,11,7.6,4.0,1.6
Myles Powell,11,1.2,0.5,0.3
Norman Powell,572,12.6,2.6,1.5
Roger Powell,3,0.7,1.0,0.0
Alex Poythress,52,3.8,2.3,0.5
Mal Pradd,79,4.2,1.0,0.3
Mike Pratt,143,5.6,2.7,2.0
Paul Pressey,724,10.6,3.9,5.1
Phil Pressey,148,3.2,1.5,2.9
Dominic Pressley,13,1.8,1.2,2.0
Harold Pressley,299,9.0,4.5,2.1
Jason Preston,21,2.5,1.9,2.0
Steve Previs,30,1.8,0.5,0.8
A.J. Price,261,5.8,1.4,2.2
Brent Price,418,5.9,1.6,3.0
Jim Price,510,10.0,3.1,3.7
Mark Price,722,15.2,2.6,6.7
Mike Price,123,3.2,1.3,0.7
Ronnie Price,544,3.7,1.2,1.8
Tony Price,5,0.8,0.0,0.6
Bob Priddy,16,2.3,2.3,0.4
Pablo Prigioni,270,3.5,1.9,2.8
Joshua Primo,56,5.7,2.3,1.8
Taurean Prince,520,10.1,3.6,1.7
