Player,G,PTS,TRB,AST
Jacob Toppin,14,1.1,0.6,0.4
Obi Toppin,302,8.0,3.2,1.1
Irv Torgoff,147,6.8,-,0.7
Gene Tormohlen,271,4.4,4.1,0.9
Óscar Torres,82,5.4,1.6,0.5
Juan Toscano-Anderson,202,4.1,3.0,1.8
Bill Tosheff,203,9.2,3.0,3.3
Bob Tough,82,7.1,-,1.7
Axel Toupane,33,3.1,1.2,0.6
Monte Towe,115,2.8,0.8,1.9
Keith Tower,53,1.8,1.3,0.1
Blackie Towery,128,9.4,-,2.4
Linton Townes,60,4.3,1.1,0.5
Karl-Anthony Towns,591,23.0,10.9,3.2
Raymond Townsend,154,4.8,1.0,1.4
Armel Traoré,3,0.7,0.7,0.0
George Trapp,379,8.8,3.9,1.0
John Trapp,303,7.2,4.4,1.0
Luke Travers,5,1.6,1.2,1.0
Robert Traylor,438,4.8,3.7,0.7
Gary Trent,506,8.6,4.5,1.0
Gary Trent Jr.,357,14.0,2.4,1.5
Jeff Trepagnier,31,2.8,1.4,0.7
John Tresvant,559,9.2,6.3,1.4
Allonzo Trier,88,9.7,2.6,1.7
Dick Triptow,59,5.7,-,1.6
Kelly Tripucka,707,17.2,3.8,3.0
Ansley Truitt,16,2.4,2.4,0.1
Cezary Trybański,22,0.7,0.7,0.0
Jake Tsakalidis,315,4.8,3.9,0.3
John Tschogl,113,2.5,1.8,0.6
Oscar Tshiebwe,9,3.2,2.8,0.2
Lou Tsioropoulos,157,5.8,4.8,1.1
Nikoloz Tskitishvili,172,2.9,1.8,0.7
Al Tucker,352,10.1,4.9,1.0
Alando Tucker,51,4.1,1.0,0.3
Anthony Tucker,62,3.9,2.7,1.1
Jim Tucker,99,4.1,3.5,0.5
P.J. Tucker,883,6.6,5.4,1.4
Rayjon Tucker,39,3.0,1.0,0.5
Trent Tucker,756,8.2,2.0,2.0
Ronny Turiaf,473,4.7,3.7,1.3
Mirsad Türkcan,17,1.9,1.9,0.3
Hedo Türkoğlu,997,11.1,4.0,2.8
Andre Turner,170,4.5,1.5,3.1
Bill Turner,294,5.4,3.5,0.6
Elston Turner,505,4.7,2.7,1.8
Evan Turner,705,9.7,4.6,3.5
Gary Turner,2,3.0,1.5,0.0
Henry Turner,66,3.4,1.2,0.4
Herschell Turner,41,3.2,1.8,1.1
Jack Turner,65,4.3,2.4,1.2
Jack Turner,42,4.8,2.0,1.0
Jeff Turner,612,6.0,3.3,1.0
John Turner,42,2.8,1.9,0.3
Myles Turner,588,13.9,6.8,1.2
Wayne Turner,3,1.3,1.0,1.7
Melvin Turpin,361,8.5,4.6,0.5
Dave Twardzik,536,9.3,2.4,3.4
Jack Twyman,823,19.2,6.6,2.3
B.J. Tyler,55,3.5,1.1,3.2
Jeremy Tyler,104,3.6,2.6,0.2
Terry Tyler,871,10.2,5.4,1.2
Charlie Tyra,348,8.9,7.4,0.9
Hunter Tyson,30,1.6,1.0,0.3
Jaylon Tyson,10,2.8,2.1,1.0
