Player,G,PTS,TRB,AST
Jordan Hawkins,78,8.6,2.4,1.1
Juaquin Hawkins,58,2.3,1.3,0.8
Marshall Hawkins,39,3.9,-,1.3
Michael Hawkins,75,1.8,0.9,1.6
Tom Hawkins,764,8.7,6.0,1.1
Nate Hawthorne,162,5.4,2.1,0.7
Chuck Hayes,644,3.7,5.0,1.2
Elvin Hayes,1303,21.0,12.5,1.8
Jarvis Hayes,427,8.3,3.1,1.1
Jaxson Hayes,322,6.8,3.8,0.7
Jim Hayes,47,3.1,1.0,1.0
Killian Hayes,210,8.1,2.9,5.2
Nigel Hayes,9,3.0,2.4,0.7
Steve Hayes,212,2.6,2.5,0.4
Gordon Hayward,835,15.2,4.4,3.5
Lazar Hayward,72,2.9,1.3,0.5
Brendan Haywood,816,6.8,6.0,0.5
Spencer Haywood,844,20.3,10.3,1.8
John Hazen,6,3.0,-,0.5
Walt Hazzard,724,12.6,3.0,4.9
Luther Head,348,8.2,2.4,2.1
Shane Heal,49,2.0,0.4,0.8
Brian Heaney,14,2.0,0.3,0.4
Gar Heard,787,8.7,7.5,1.6
Reggie Hearn,3,1.0,0.0,0.0
Herm Hedderick,5,0.8,0.8,0.4
Alvin Heggs,4,2.0,0.5,0.0
Tom Heinsohn,654,18.6,8.8,2.0
Dick Hemric,138,6.3,5.1,0.7
Alan Henderson,652,7.8,5.0,0.6
Cedric Henderson,8,1.4,1.0,0.0
Cedric Henderson,260,7.3,2.9,1.6
Dave Henderson,22,5.7,1.6,1.5
Gerald Henderson,871,8.9,1.7,3.6
Gerald Henderson,535,11.2,3.2,1.9
J.R. Henderson,30,3.2,1.6,0.7
Jerome Henderson,7,2.3,1.1,0.0
Kevin Henderson,22,3.0,1.1,1.5
Scoot Henderson,78,13.5,3.1,5.4
Tom Henderson,650,9.4,2.3,4.8
Taylor Hendricks,43,7.1,4.7,0.8
Mark Hendrickson,114,3.3,2.8,0.6
Larry Hennessy,74,4.5,1.3,1.0
Don Henriksen,138,7.2,7.2,1.7
Aaron Henry,6,0.3,0.2,0.0
Al Henry,49,4.0,3.0,0.2
Bill Henry,95,6.5,-,1.1
Carl Henry,28,2.8,0.7,0.1
Conner Henry,93,3.3,0.9,1.1
Myke Henry,20,5.4,1.9,1.1
Skeeter Henry,4,1.0,0.5,1.0
Xavier Henry,185,5.7,1.9,0.6
John Henson,445,7.6,5.3,1.1
Steve Henson,238,3.1,0.7,2.0
Charlie Hentz,57,6.0,6.8,0.5
Bill Herman,13,4.3,-,1.2
Kleggie Hermsen,288,9.3,5.8,1.3
Dewan Hernandez,6,2.3,2.3,0.5
Juancho Hernangómez,339,5.0,3.3,0.6
Willy Hernangómez,344,7.3,5.8,1.1
Chris Herren,70,3.2,1.0,2.4
Carl Herrera,465,5.3,3.6,0.6
Walter Herrmann,152,5.4,2.1,0.4
Tyler Herro,301,18.4,5.0,3.7
Keith Herron,124,9.8,2.0,1.4
Sonny Hertzberg,293,8.7,4.0,2.1
Kevin Hervey,10,1.7,1.2,0.5
Dan Hester,42,5.9,5.6,0.8
Fred Hetzel,416,11.2,5.9,1.1
Bill Hewitt,361,5.7,5.5,1.3
Jack Hewson,24,2.7,-,0.0
Art Heyman,310,13.0,4.7,2.8
Mario Hezonja,330,6.9,3.1,1.3
Roy Hibbert,662,10.0,6.3,1.3
Nat Hickey,2,1.0,-,0.0
Isaiah Hicks,21,4.4,2.3,0.9
Phil Hicks,57,2.3,1.6,0.6
J.J. Hickson,534,9.5,6.8,0.8
Buddy Hield,650,15.5,4.2,2.6
Bill Higgins,15,9.2,1.4,2.1
Cory Higgins,44,3.7,0.9,0.9
Earle Higgins,53,4.4,2.4,0.7
Mike Higgins,18,1.7,0.5,0.3
Rod Higgins,779,9.0,3.6,1.6
Sean Higgins,220,6.3,1.8,1.0
Kenny Higgs,216,6.8,1.8,4.4
Johnny High,274,5.1,2.3,1.9
Haywood Highsmith,159,5.0,3.0,0.8
Wayne Hightower,565,11.6,7.0,1.7
Nenê,965,11.3,6.0,1.8
Armond Hill,468,6.9,2.0,4.7
Cleo Hill,58,5.5,3.1,2.0
Gary Hill,79,4.7,1.6,1.4
George Hill,915,10.4,3.0,3.1
Grant Hill,1026,16.7,6.0,4.1
Jordan Hill,409,7.9,5.8,0.8
Malcolm Hill,24,3.2,1.6,0.3
Simmie Hill,252,9.7,5.3,1.3
Solomon Hill,448,5.5,3.1,1.5
Steven Hill,1,2.0,3.0,0.0
Tyrone Hill,801,9.4,8.6,0.8
Art Hillhouse,71,5.9,-,0.6
Darrun Hilliard,91,3.2,0.9,0.8
Darnell Hillman,682,9.8,7.6,1.4
Fred Hilton,120,9.4,2.1,1.6
Kirk Hinrich,879,10.9,2.9,4.8
Roy Hinson,507,14.2,6.8,1.0
Nate Hinton,38,1.9,0.8,0.5
Mel Hirsch,13,1.5,-,0.8
Lew Hitch,414,5.0,5.3,1.2
Robert Hite,12,4.3,1.3,0.7
Jaylen Hoard,39,6.6,4.6,1.2
Darington Hobson,5,0.8,0.6,1.2
D'Moi Hodge,7,2.0,0.0,0.7
Donald Hodge,249,4.7,3.2,0.8
Julius Hodge,23,1.2,0.7,0.8
Craig Hodges,695,8.5,1.3,2.5
Charlie Hoefer,65,5.6,-,0.6
Paul Hoffman,317,10.2,5.1,2.9
Bob Hogsett,20,1.9,1.3,0.1
Paul Hogue,65,6.3,7.1,0.7
Fred Hoiberg,541,5.4,2.7,1.6
Doug Holcomb,3,5.0,-,1.7
Randy Holcomb,4,0.5,0.3,0.0
Aaron Holiday,397,6.5,1.6,2.1
Jrue Holiday,993,16.1,4.2,6.3
Justin Holiday,680,8.0,2.7,1.4
Brad Holland,93,3.2,0.6,0.7
Joe Holland,186,5.8,4.2,1.8
John Holland,25,2.2,1.0,0.2
Ron Holland,21,5.9,3.2,0.5
Wilbur Holland,276,13.6,3.1,3.3
Lionel Hollins,673,11.6,2.4,4.5
Ryan Hollins,518,3.7,2.2,0.3
Essie Hollis,25,2.8,1.8,0.2
Rondae Hollis-Jefferson,305,9.0,5.5,1.9
Dennis Holman,46,3.8,1.7,1.6
Richaun Holmes,460,8.6,5.3,1.0
Chet Holmgren,92,16.5,8.0,2.4
Jim Holstein,225,3.8,2.9,1.1
A.W. Holt,6,0.7,0.7,0.0
Michael Holton,325,6.2,1.4,3.0
Dick Holub,48,10.5,-,0.8
Joe Holup,192,7.0,4.4,1.0
Red Holzman,358,6.1,1.5,2.0
Jerald Honeycutt,54,5.1,1.9,0.7
Tyler Honeycutt,24,1.2,1.0,0.4
Derek Hood,2,0.0,0.5,0.0
Rodney Hood,448,10.4,2.6,1.6
Jalen Hood-Schifino,22,1.5,0.6,0.4
Bobby Hooper,54,5.0,2.0,2.6
